Test ID,Test Input Type,Final Status,Expected Criteria,Fix / Observation,Evidence Basis
T1,Detailed project plan,PASS,"Phases, milestones, timeline",Initial run passed; documented as passing after iteration,Playbook
T2,Vague chatbot plan,PASS after fix,"Insufficient data / scope, timeline, team size",Vague Input Rule added,Playbook post-iteration narrative
T3,Detailed risk assessment,PASS,Categorized project-relevant risks,No generic/unrelated risks,Playbook
T4,Vague risk request,PASS after fix,Insufficient data / project details,Vague Input Rule added,Playbook post-iteration narrative
T5,Sprint 3 status report,PASS,Tasks by status; actual task names,Grounded task-board processing,Playbook
T6,Status request with no data,PASS after fix,No task data available,No-data guardrail added,Playbook post-iteration narrative
T7,Top 3 risks,PASS,Actual risk IDs/data,Risk grounding enforced,Playbook
T8,Blocked / at-risk tasks,PASS,T024 Security review — BLOCKED,Task-board tracking,Playbook
T9,"2-week project, no details",PASS after fix,Ask for scope/goals/deliverables,Vague Input Rule added,Playbook post-iteration narrative
T10,Current task counts,PASS after fix,Counts must match raw board,Strict counting rule added,Playbook post-iteration narrative
T11,Next 2 weeks milestones,PASS,Actual timeline milestones,Timeline grounding,Playbook
T12,Sprint 2 stakeholder email,PASS,Sprint 2 tasks only; professional,Sprint-specific grounding,Playbook
